ticker,bps,per,pbr,eps,div,dps,sector,valuation_label,sector_median_per,sector_median_pbr
253590,2727,35.78,5.94,453,0.37,60,기계·장비,고평가,71.735,4.875
092790,17880,9.57,0.71,1334,1.96,250,금속,저평가,29.87,1.6600000000000001
380550,0,0.0,0.0,0,0.0,0,IT 서비스,적정,28.54,3.08
064260,4455,81.56,2.0,109,0.0,0,IT 서비스,고평가,28.54,3.08
323350,1913,0.0,9.78,0,0.0,0,기계·장비,고평가,71.735,4.875
068240,6749,9.59,0.43,306,0.0,0,전기·전자,저평가,47.02,3.26
128820,16035,51.45,0.55,172,0.0,0,유통,고평가,38.195,1.2999999999999998
117580,12094,13.59,0.71,635,2.9,250,전기·가스,적정,11.58,0.71
047040,10444,13.68,0.75,570,0.0,0,건설,저평가,28.6,2.015
006340,1467,47.02,2.85,89,0.0,0,전기·전자,적정,47.02,3.26
010170,468,0.0,8.78,0,0.0,0,전기·전자,고평가,47.02,3.26
001440,7931,80.44,4.15,409,0.0,0,전기·전자,고평가,47.02,3.26
003490,28356,7.05,0.89,3566,2.98,750,운송·창고,고평가,7.05,0.73
005880,6289,4.54,0.37,508,0.0,0,운송·창고,저평가,7.05,0.73
077360,6897,28.73,1.87,449,0.0,0,전기·전자,저평가,47.02,3.26
0001A0,2044,134.32,11.11,169,0.14,32,전기·가스·수도,적정,134.32,11.11
263800,2097,348.0,2.49,15,0.0,0,유통,고평가,38.195,1.2999999999999998
082640,12611,4.21,0.67,2015,0.0,0,보험,적정,4.38,0.63
034020,11705,594.83,8.84,174,0.0,0,기계·장비,고평가,71.735,4.875
290550,9087,7.95,1.21,1380,0.0,0,전기·전자,저평가,47.02,3.26
281740,1982,72.4,11.58,317,0.22,50,화학,고평가,37.74,4.12
000400,2569,37.13,0.98,68,0.0,0,보험,고평가,4.38,0.63
474170,3440,0.0,5.36,0,0.0,0,운송장비·부품,고평가,27.314999999999998,2.665
250060,1095,20.35,5.35,288,0.0,0,IT 서비스,고평가,28.54,3.08
100790,6625,144.72,3.52,161,0.36,85,금융,고평가,37.0,2.24
085620,19648,11.89,0.63,1043,0.0,0,보험,고평가,4.38,0.63
006800,20662,45.89,3.43,1545,0.35,250,증권,고평가,16.97,1.19
00680K,0,0.0,0.0,0,1.11,250,증권,적정,16.97,1.19
006805,0,0.0,0.0,0,1.02,275,증권,적정,16.97,1.19
006910,1845,103.93,6.87,122,0.0,0,금속,고평가,29.87,1.6600000000000001
003000,3254,0.0,1.68,0,0.0,0,제약,적정,36.205,4.785
083650,3761,139.49,23.48,633,0.0,0,기계·장비,고평가,71.735,4.875
065170,909,0.0,5.09,0,0.0,0,유통,고평가,38.195,1.2999999999999998
042370,8938,37.48,1.33,317,0.42,50,금융,적정,37.0,2.24
050090,764,0.0,0.92,0,0.0,0,일반서비스,적정,79.50999999999999,5.72
065450,2033,33.57,2.2,133,0.67,30,의료·정밀기기,적정,39.74,2.84
053700,17160,4.15,0.48,1973,0.61,50,운송장비·부품,저평가,27.314999999999998,2.665
009150,116340,41.94,3.24,8988,0.48,1800,전기·전자,적정,47.02,3.26
005930,57951,38.4,3.28,4950,0.76,1446,전기·전자,적정,47.02,3.26
005935,0,0.0,0.0,0,1.07,1447,전기·전자,적정,47.02,3.26
010140,4443,393.33,6.64,75,0.0,0,운송장비·부품,고평가,27.314999999999998,2.665
016360,82018,11.37,1.4,10068,3.06,3500,증권,적정,16.97,1.19
482630,4312,48.92,5.25,463,0.0,0,화학,고평가,37.74,4.12
003720,2228,37.74,4.12,243,0.22,20,화학,적정,37.74,4.12
054540,6000,30.51,2.5,492,1.0,150,금속,고평가,29.87,1.6600000000000001
0013V0,593,68.74,19.36,167,0.0,0,음식료·담배,고평가,68.74,2.82
038500,7043,23.56,2.06,616,0.76,110,비금속,적정,20.759999999999998,2.06
437730,3627,179.38,13.55,274,0.1,50,운송장비·부품,고평가,27.314999999999998,2.665
000390,13171,14.88,0.74,654,3.6,350,화학,저평가,37.74,4.12
001290,1704,0.0,0.76,0,0.0,0,증권,적정,16.97,1.19
252990,2525,184.17,4.38,60,0.0,0,전기·전자,고평가,47.02,3.26
294630,328,0.0,16.19,0,0.0,0,전기·전자,고평가,47.02,3.26
004410,61,0.0,2.82,0,0.0,0,음식료·담배,적정,68.74,2.82
178320,15467,22.26,2.44,1696,0.0,0,전기·전자,저평가,47.02,3.26
043260,2334,156.46,9.85,147,0.0,0,전기·전자,고평가,47.02,3.26
017510,5154,35.6,2.12,307,0.73,80,금속,고평가,29.87,1.6600000000000001
017550,2985,13.0,0.64,148,0.52,10,기계·장비,저평가,71.735,4.875
298830,1772,39.28,4.59,207,0.0,0,IT 서비스,고평가,28.54,3.08
099440,2933,13.37,2.29,502,0.0,0,기계·장비,저평가,71.735,4.875
347700,1418,0.0,32.19,0,0.0,0,IT 서비스,고평가,28.54,3.08
056090,844,2305.0,2.73,1,0.0,0,의료·정밀기기,고평가,39.74,2.84
011930,1170,0.0,1.98,0,0.0,0,전기·전자,적정,47.02,3.26
055550,112364,12.08,0.91,8441,2.12,2160,기타금융,적정,10.66,0.89
050890,5318,12.57,1.8,760,0.52,50,전기·전자,저평가,47.02,3.26
222080,6188,17.66,2.23,783,0.0,0,기계·장비,저평가,71.735,4.875
025980,8044,0.0,1.09,0,0.0,0,일반서비스,적정,79.50999999999999,5.72
0015N0,1825,34.76,8.25,433,0.0,0,화학,고평가,37.74,4.12
052710,10211,0.0,1.14,0,0.0,0,전기·전자,적정,47.02,3.26
159010,4230,0.0,1.58,0,0.0,0,기계·장비,적정,71.735,4.875
456010,3240,0.0,5.64,0,0.0,0,전기·전자,고평가,47.02,3.26
212710,1165,125.75,7.88,73,0.0,0,전기·전자,고평가,47.02,3.26
307180,442,368.75,13.35,16,0.0,0,전기·전자,고평가,47.02,3.26
027360,2205,70.57,2.24,70,1.01,50,금융,고평가,37.0,2.24
158430,3873,15.74,2.03,500,0.64,50,IT 서비스,저평가,28.54,3.08
019990,4346,171.96,2.22,56,0.0,0,기계·장비,고평가,71.735,4.875
043340,269,0.0,2.19,0,0.0,0,기계·장비,적정,71.735,4.875
015260,573,0.0,0.82,0,0.0,0,전기·전자,적정,47.02,3.26
200470,1304,0.0,6.44,0,0.0,0,전기·전자,고평가,47.02,3.26
086520,11942,0.0,14.34,0,0.06,100,금융,고평가,37.0,2.24
156100,2132,24.54,5.63,489,0.0,0,의료·정밀기기,고평가,39.74,2.84
046120,2110,87.25,3.31,80,0.0,0,일반서비스,적정,79.50999999999999,5.72
065500,1199,0.0,2.31,0,0.0,0,운송장비·부품,적정,27.314999999999998,2.665
232140,4054,155.47,5.25,137,0.0,0,기계·장비,고평가,71.735,4.875
011690,2973,43.83,2.65,180,0.0,0,전기·전자,적정,47.02,3.26
316140,45919,10.33,0.89,3950,2.94,1200,기타금융,적정,10.66,0.89
032820,691,0.0,21.49,0,0.0,0,전기·전자,고평가,47.02,3.26
041190,8555,4.46,0.99,1897,0.0,0,금융,저평가,37.0,2.24
105840,9602,39.74,2.84,687,0.92,250,의료·정밀기기,적정,39.74,2.84
457550,5115,49.58,5.72,590,0.68,200,일반서비스,적정,79.50999999999999,5.72
030530,12677,0.0,2.75,0,0.0,0,화학,적정,37.74,4.12
003470,7953,16.97,0.73,340,3.47,200,증권,적정,16.97,1.19
056080,952,0.0,38.97,0,0.0,0,기계·장비,고평가,71.735,4.875
001200,11448,11.0,0.52,540,1.68,100,증권,저평가,16.97,1.19
261520,3960,28.54,3.21,446,0.0,0,IT 서비스,적정,28.54,3.08
094820,8861,28.6,2.23,692,1.67,330,건설,적정,28.6,2.015
049630,824,85.61,5.09,49,0.0,0,의료·정밀기기,고평가,39.74,2.84
080220,5469,78.66,8.36,581,0.0,0,전기·전자,고평가,47.02,3.26
006220,18367,101.33,0.92,166,0.59,100,은행,고평가,31.06,0.92
033340,584,528.75,3.62,4,0.0,0,섬유·의류,적정,528.75,3.62
036930,12400,24.56,4.5,2272,0.51,287,기계·장비,적정,71.735,4.875
000440,12305,0.0,1.66,0,1.57,320,유통,고평가,38.195,1.2999999999999998
388050,1967,48.14,5.53,226,0.0,0,전기·전자,고평가,47.02,3.26
066360,1577,0.0,0.68,0,0.0,0,음식료·담배,적정,68.74,2.82
035720,23100,459.52,2.51,126,0.12,68,IT 서비스,고평가,28.54,3.08
323410,13727,31.06,2.09,924,1.25,360,은행,고평가,31.06,0.92
377300,13824,0.0,4.88,0,0.0,0,기타금융,고평가,10.66,0.89
038530,488,0.0,0.94,0,0.0,0,유통,적정,38.195,1.2999999999999998
190650,15266,8.78,0.7,1210,5.18,550,금융,저평가,37.0,2.24
041960,899,45.16,9.44,188,0.0,0,제약,고평가,36.205,4.785
016600,791,37.0,0.47,10,0.0,0,금융,적정,37.0,2.24
044490,30212,29.5,1.2,1234,0.0,0,금속,적정,29.87,1.6600000000000001
125020,0,0.0,0.0,0,0.0,0,전기·전자,적정,47.02,3.26
005690,1441,161.51,11.88,106,0.12,20,제약,고평가,36.205,4.785
028670,10576,10.66,0.51,502,2.24,120,운송·창고,고평가,7.05,0.73
010820,1310,29.87,5.13,225,0.0,0,금속,고평가,29.87,1.6600000000000001
389140,2501,0.0,4.93,0,0.0,0,오락·문화,적정,,4.93
047050,38397,24.94,1.96,3019,2.06,1550,유통,고평가,38.195,1.2999999999999998
237750,10452,14.16,0.47,344,2.05,100,전기·전자,저평가,47.02,3.26
086790,151798,10.4,0.86,12629,2.74,3600,기타금융,적정,10.66,0.89
067310,5607,0.0,6.22,0,0.2,70,전기·전자,고평가,47.02,3.26
003380,31545,61.48,0.53,271,0.72,120,금융,고평가,37.0,2.24
036460,124079,3.46,0.37,13174,3.19,1455,전기·가스,저평가,11.58,0.71
004090,15707,17.96,1.2,1049,0.64,120,비금속,적정,20.759999999999998,2.06
015760,62177,11.58,1.01,5439,0.34,213,전기·가스,고평가,11.58,0.71
125490,233,51.26,78.54,357,0.0,0,운송장비·부품,고평가,27.314999999999998,2.665
011700,2764,0.0,1.98,0,0.27,15,기계·장비,적정,71.735,4.875
018880,3909,0.0,1.27,0,0.0,0,기계·장비,적정,71.735,4.875
024740,4076,12.7,0.62,198,0.0,0,운송장비·부품,저평가,27.314999999999998,2.665
052690,15179,106.18,10.76,1538,0.61,999,일반서비스,고평가,79.50999999999999,5.72
130660,3552,71.77,7.19,356,1.44,367,일반서비스,고평가,79.50999999999999,5.72
452260,4080,0.0,0.72,0,0.0,0,유통,적정,38.195,1.2999999999999998
45226K,0,0.0,0.0,0,0.0,0,유통,적정,38.195,1.2999999999999998
088350,15697,7.05,0.42,936,0.0,0,보험,고평가,4.38,0.63
000370,18660,4.38,0.5,2121,0.0,0,보험,적정,4.38,0.63
009830,54974,0.0,0.96,0,0.57,300,화학,적정,37.74,4.12
272210,13316,48.1,8.75,2422,0.3,350,전기·전자,고평가,47.02,3.26
042660,15857,90.96,9.45,1648,0.0,0,운송장비·부품,고평가,27.314999999999998,2.665
003530,7824,52.54,1.19,177,0.0,0,증권,고평가,16.97,1.19
003535,0,0.0,0.0,0,0.0,0,증권,적정,16.97,1.19
234340,11720,32.03,2.16,790,1.38,350,IT 서비스,적정,28.54,3.08
187660,161,0.0,57.64,0,0.0,0,일반서비스,고평가,79.50999999999999,5.72
000720,71394,0.0,1.8,0,0.47,600,건설,적정,28.6,2.015
079430,20470,9.96,0.37,755,1.73,130,기타제조,적정,9.96,0.37
319400,1506,119.35,18.23,230,0.18,50,기계·장비,고평가,71.735,4.875
048410,467,0.0,29.27,0,0.0,0,화학,고평가,37.74,4.12
004560,33980,11.73,0.57,1644,0.52,100,금속,저평가,29.87,1.6600000000000001
004310,3026,0.0,4.42,0,0.22,30,제약,적정,36.205,4.785
004020,143815,0.0,0.27,0,1.93,750,금속,적정,29.87,1.6600000000000001
005440,21615,3.2,0.66,4483,1.46,210,기타금융,저평가,10.66,0.89
005380,413568,10.69,1.23,47615,2.36,12000,운송장비·부품,저평가,27.314999999999998,2.665
001500,30047,14.56,0.45,936,1.32,180,증권,적정,16.97,1.19
001450,60491,3.58,0.64,10847,0.0,0,보험,적정,4.38,0.63
460930,6599,41.93,3.02,476,0.5,100,운송장비·부품,고평가,27.314999999999998,2.665
010690,14891,8.23,0.85,1542,1.18,150,운송장비·부품,저평가,27.314999999999998,2.665
005870,13123,11.06,0.69,821,0.0,0,전기·전자,저평가,47.02,3.26
090710,1135,0.0,12.59,0,0.0,0,기계·장비,고평가,71.735,4.875
024060,5428,442.79,3.51,43,0.16,30,유통,고평가,38.195,1.2999999999999998
000540,11857,3.95,0.49,1459,0.0,0,보험,적정,4.38,0.63
000545,0,0.0,0.0,0,0.0,0,보험,적정,4.38,0.63
003280,950,11.75,2.04,165,0.0,0,운송·창고,고평가,7.05,0.73
